Приставка;Значение
а;отсутствие признака
ан;отрицание
анти;против
архи;высшая степень признака, заключающегося во второй части слова 
безо;Отсутствие или недостаток (за исключением, кроме)
без ;Отсутствие или недостаток (за исключением, кроме)
бес;Отсутствие или недостаток (за исключением, кроме)
во;внутрь, внутри
в ;внутрь, внутри
возо;вверх, наверх
воз ;вверх, наверх
вос;вверх, наверх
вза;вверх, наверх
взо;вверх, наверх
вз ;вверх, наверх
вс ;вверх, наверх
взаимно;обоюдно
вне;снаружи
внутри;в, внутри
все;всеобщность
вы;из, изнутри
гипер;сверх нормы
де;отделение, удаление, прекращение чего-либо и обратное действие 
дез;удаление, прекращение, уничтожение
диз;разделение, отделение, отрицание
дис;разделение, отделение, отрицание
до;"приближение; завершение действие"
еже;каждый
за;"сзади; нахождение по ту сторону; начало действия"
изо;изнутри
из ;изнутри
ис;изнутри
ино;другой
испод;из-под 
ко;направление
к ;направление
контр;противодействие, противопоставление 
кое;неопределённость, недостаточность
кой;неопределённость, недостаточность
контр;против
ку;поворот, закруглённость
любо;Слово-приставка
между;Слово-приставка, расположеный между чем-либо
меж ;Слово-приставка, расположеный между чем-либо
междо;Слово-приставка, расположеный между чем-либо
мимо;Слово-приставка (приставка-наречие)
на;наверху, наверх, на поверхность
наи;самый
надо;сверху
над ;сверху
не;отрицательная приставка-частица
ни;отрицательная приставка-частица
небезо;с некоторым наличием
небез ;с некоторым наличием
небес;с некоторым наличием
недо;составная приставка, недостаток
низо;вниз
низ ;вниз
нис;вниз
обезо;делать, чтобы отсутствовало
обез ;делать, чтобы отсутствовало
обес;делать, чтобы отсутствовало
обо;кругом
об ;кругом
о ;кругом
обще;предназначенный для всех
около;передаёт похожесть
ото;удаление
от ;удаление
по;вдоль
па;вдоль
пере;через верх
пре;через верх
подо;внизу, ниже низа предмета
под ;внизу, ниже низа предмета
пода;внизу, ниже низа предмета
поза;двойная приставка (по + за)
после;по следу (составная приставка)
пра;до, прежде
пред;впереди, ранее
предо;впереди, ранее
при ;"рядом; приближение"
про;сквозь
против ;"Слово-приставка (= ""анти"")"
противо;"Слово-приставка (= ""анти"")"
ре;обратный процесс, повторность, возобновление действия
разо;в разные стороны
раз ;в разные стороны
рас;в разные стороны
роз;в разные стороны
рос;в разные стороны
сверх;превышение нормы, максимальный уровень
со;"быть вместе, делать совместно; спускать(ся) вниз"
с ;"быть вместе, делать совместно; спускать(ся) вниз"
среди;посередине 
су;быть рядом, быть похожим
супер;"высшее качество; главный; находящийся сверху"
сыз;двойная приставка (= с + из)
тре ;избыточно, слишком много
у;отдаление
ультра;крайний, предельный 
через;слишком
черес;слишком
чрез;слишком
эу;истинно, правильно
эв;истинно, правильно
экс;"движение изнутри наружу; утративший прежнее положение"
па;неполнота, низшая степень
пра;древность, степень родства
су;сопровождающее свойство, примесь
