Суффиксы;Значение
адь;жена, женщина
ак;для фамильярных названий лиц мужского пола
алей;для фамильярных названий лиц мужского пола
ан;"1) часть тела, характеризующаяся интенсивным признаком; 2) название животного; 3) лицо, склонное к тому, что названо исходным словом"
ян;"1) часть тела, характеризующаяся интенсивным признаком; 2) название животного; 3) лицо, склонное к тому, что названо исходным словом"
анин;значение лица по месту жительства
янин;значение лица по месту жительства
ар;"1) названия профессий лиц мужского пола; 2) характеристика лиц мужского пола"
арь;"1) названия профессий лиц мужского пола; 2) характеристика лиц мужского пола"
ач;"1) лицо по преобладающему признаку; 2) предмет, который служит для выполнения действия"
ени;слова со значением действия
от;"1) отвлечённый признак; 2) совокупность лиц; 3) действия со значением шума"
ет ;"1) отвлечённый признак; 2) совокупность лиц; 3) действия со значением шума"
еств ;"1) союз, объединение людей, названных в исходном слове; 2) учреждение; 3) отвлечённый признак; 4) лицо, наделённое признаком исходного слова"
ств;"1) союз, объединение людей, названных в исходном слове; 2) учреждение; 3) отвлечённый признак; 4) лицо, наделённое признаком исходного слова"
есть;отвлечённый признак или состояние
ость ;отвлечённый признак или состояние
ец;"1) лицо по принадлежности к месту жительства; 2) лицо, характеризующееся каким-либо признаком; 3) предмет или явление, характеризующеся признаком, выраженным в исходном слове; 4) субъективная оценка"
изм;состояние, качество, названия учений и общественных течений
изн;"1) отвлечённый признак; 2) глагол со значение действия"
ик;"1) лицо по свойству или признаку, которое определяет его отношение к предмету или занятию; 2)  предмет, предназначенный для чего-либо; 3) предмет, обозначающий книгу ли сочинение; 4) пространство или территория, покрытая чем-либо или содержащая что-либо; 5) суффикс субъективной оценки"
ин;"1) вид мяса или рыбы; 2) один предмет из ряда одинаковых; 3) отвлечённый признак; 4) результат или орудие действия; 5) лицо, которое является представителем какой-либо нации или жителем какого-либо государства и т.д. 6) объективная оценка"
ист;принадлежность к профессии, учреждению или общественному направлению 
иц;"1) предмет-вместилище чего-нибудь; 2) названия самок животных; 3) суффикс объективной оценки"
ниц;"1) предмет-вместилище чего-нибудь; 2) названия самок животных; 3) суффикс объективной оценки"
их;названия самок животных
к;"1) лица женского пола от соответствующих имён существительных мужского; 2) предмет, предназначенный для выполнения действия; 3) предмет-результат действия; 4)  действие; 5) суффикс субъективной оценки"
л;"1) лица, которые постоянно или обычно выполняют действие; 2) премет, предназначенный для выполнения действия; 3) предмет или явление, характеризующиеся действием, названным исходным словом"
лк;"1) предмет, предназначенный для выполнения действия; 2) помещение, предназначенное для осуществления действия; 3) названия лиц, выполнеющих действия"
